2026-01-08 10:24:48	https://doi.org/10.1002/ecy.4467	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ecy.4467
2026-01-08 10:24:48	https://doi.org/10.1111/ecog.07037	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ecog.07037
2026-01-08 10:24:48	https://doi.org/10.22541/au.171258335.52343398/v1	https://www.authorea.com/doi/pdf/10.22541/au.171258335.52343398/v1
2026-01-08 10:24:48	https://doi.org/10.1073/pnas.2313971121	https://www.pnas.org/doi/pdf/10.1073/pnas.2313971121
2026-01-08 15:38:44	10.1111/ddi.12496	10.1111/ddi.12496
2026-01-08 15:38:47	10.1098/rspb.2014.1779	10.1098/rspb.2014.1779
2026-01-08 16:36:52	10.1111/fwb.13497	10.1111/fwb.13497
2026-01-08 16:43:59	10.1111/fwb.13497	10.1111/fwb.13497
2026-01-08 16:45:16	10.1111/fwb.13497	10.1111/fwb.13497
2026-01-08 16:58:39	10.1111/fwb.13497	10.1111/fwb.13497
2026-01-08 16:59:15	10.1111/1365-2664.12517	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2664.12517
2026-01-08 16:59:24	10.1111/j.1420-9101.2011.02418.x	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1420-9101.2011.02418.x
2026-01-08 23:53:39	10.5281/zenodo.5898699	10.5281/zenodo.5898699
2026-01-08 23:54:02	10.1639/0007-2745-119.1.008	10.1639/0007-2745-119.1.008
2026-01-08 23:54:04	10.1111/mec.14361	10.1111/mec.14361
2026-01-08 23:54:05	10.22541/au.161832268.87346989/v1	10.22541/au.161832268.87346989/v1
2026-01-08 23:54:24	10.1111/mec.12142	10.1111/mec.12142
2026-01-08 23:54:35	10.1002/ece3.3947	10.1002/ece3.3947
2026-01-08 23:54:55	10.1111/mec.13847	10.1111/mec.13847
2026-01-08 23:55:06	10.1111/mec.12500	10.1111/mec.12500
2026-01-08 23:55:08	10.1111/1365-2656.12645	10.1111/1365-2656.12645
2026-01-08 23:55:29	10.1002/eap.1713	10.1002/eap.1713
2026-01-08 23:55:39	10.1111/1755-0998.12412	10.1111/1755-0998.12412
2026-01-08 23:56:21	10.1111/mec.12358	10.1111/mec.12358
2026-01-08 23:56:42	10.1111/geb.12829	10.1111/geb.12829
2026-01-08 23:56:44	10.1111/mec.13795	10.1111/mec.13795
2026-01-08 23:56:56	10.1093/jhered/esx005	10.1093/jhered/esx005
2026-01-08 23:57:02	10.1111/jav.01273	10.1111/jav.01273
2026-01-08 23:57:13	10.1111/oik.06668	10.1111/oik.06668
2026-01-08 23:57:26	10.1600/036364416x692514	10.1600/036364416x692514
2026-01-08 23:57:39	10.1093/ee/nvy113	10.1093/ee/nvy113
2026-01-08 23:58:00	10.1007/s10592-019-01170-8	10.1007/s10592-019-01170-8
2026-01-08 23:58:05	10.5281/zenodo.5898699	10.5281/zenodo.5898699
2026-01-08 23:58:07	10.1639/0007-2745-119.1.008	10.1639/0007-2745-119.1.008
2026-01-08 23:58:09	10.1111/mec.14361	10.1111/mec.14361
2026-01-08 23:58:10	10.22541/au.161832268.87346989/v1	10.22541/au.161832268.87346989/v1
2026-01-08 23:58:12	10.1111/mec.12142	10.1111/mec.12142
2026-01-08 23:58:15	10.1002/ece3.3947	10.1002/ece3.3947
2026-01-08 23:59:09	10.5281/zenodo.5898699	10.5281/zenodo.5898699
2026-01-08 23:59:11	10.1639/0007-2745-119.1.008	10.1639/0007-2745-119.1.008
2026-01-08 23:59:13	10.1111/mec.14361	10.1111/mec.14361
2026-01-08 23:59:14	10.22541/au.161832268.87346989/v1	10.22541/au.161832268.87346989/v1
2026-01-08 23:59:17	10.1111/mec.12142	10.1111/mec.12142
